Al,Co,Cr,Fe,Ni,Cu,Mn,Ti,V,Nb,Mo,C,Si,Zr,B,Y,Sn,Li,Mg,Zn,Sc,Hf,Ta,W,Be,Pd,Pt,Rh,Ir,Au,Ag,HV
0,0.2,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.1111,0,0.2222,0.3333,0.1111,0,0.2222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396
0.069767,0,0.232558,0.348837,0.116279,0,0.232558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297
0.2222,0.2222,0.2222,0.2222,0,0,0,0,0,0,0.1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,857
0.2,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472
0.238095,0,0.238095,0.238095,0.238095,0,0,0,0,0,0.047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549
0.2222,0,0.2222,0.2222,0.2222,0,0,0,0,0,0.2222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622
0.20833,0,0.20833,0.20833,0.20833,0,0,0,0,0,0.16666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,854
0.2,0,0.2,0.2,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,905
0,0.25,0.25,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134
0.069767,0.232558,0.232558,0.232558,0,0.232558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180
0.1111,0.2222,0.2222,0.2222,0,0.2222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207
0.16666,0.20833,0.20833,0.20833,0,0.20833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271
0.2,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407
0.245283,0.188679,0.188679,0.188679,0,0.188679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476
0.272727,0.181818,0.181818,0.181818,0,0.181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510
0.310344,0.172413,0.172413,0.172413,0,0.172413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557
0.33333,0.166666,0.166666,0.166666,0,0.166666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567
0.365079,0.15873,0.15873,0.15873,0,0.15873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603
0.384615,0.153846,0.153846,0.153846,0,0.153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624
0.411764,0.147058,0.147058,0.147058,0,0.147058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657
0.428571,0.142857,0.142857,0.142857,0,0.142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,644
0,0.2222,0.2222,0.2222,0.2222,0.1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172
0,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132
0,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286
0,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286
0,0.181818,0.181818,0.181818,0.181818,0.181818,0,0.090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
